SECID,TRADEDATE,OPEN,LOW,HIGH,CLOSE,VOLUME
MXU6,2026-04-22 11:06:00,281650.0,281650.0,281650.0,281650.0,1.0
MXU6,2026-04-22 11:08:00,281625.0,281625.0,281625.0,281625.0,1.0
MXU6,2026-04-22 11:30:00,281475.0,281475.0,281475.0,281475.0,1.0
MXU6,2026-04-22 11:38:00,281275.0,281275.0,281275.0,281275.0,1.0
MXU6,2026-04-22 11:45:00,281100.0,281100.0,281100.0,281100.0,3.0
MXU6,2026-04-22 11:47:00,281200.0,281200.0,281200.0,281200.0,1.0
MXU6,2026-04-22 12:50:00,281225.0,281225.0,281225.0,281225.0,1.0
MXU6,2026-04-22 12:55:00,281250.0,281250.0,281250.0,281250.0,1.0
MXU6,2026-04-22 13:01:00,281250.0,281250.0,281250.0,281250.0,1.0
MXU6,2026-04-22 13:05:00,281100.0,281100.0,281100.0,281100.0,1.0
MXU6,2026-04-22 13:15:00,280700.0,280600.0,280700.0,280600.0,6.0
MXU6,2026-04-22 13:24:00,280950.0,280950.0,280950.0,280950.0,1.0
MXU6,2026-04-22 13:26:00,281000.0,281000.0,281000.0,281000.0,1.0
MXU6,2026-04-22 13:52:00,280775.0,280775.0,280775.0,280775.0,1.0
MXU6,2026-04-22 13:53:00,280850.0,280850.0,280850.0,280850.0,2.0
MXU6,2026-04-22 13:55:00,280725.0,280725.0,280725.0,280725.0,1.0
MXU6,2026-04-22 14:12:00,280875.0,280875.0,280875.0,280875.0,1.0
MXU6,2026-04-22 14:18:00,280800.0,280800.0,280800.0,280800.0,1.0
MXU6,2026-04-22 14:35:00,281000.0,281000.0,281000.0,281000.0,1.0
MXU6,2026-04-22 14:36:00,281150.0,281150.0,281150.0,281150.0,1.0
MXU6,2026-04-22 14:44:00,281150.0,281150.0,281150.0,281150.0,1.0
MXU6,2026-04-22 15:08:00,281100.0,281075.0,281100.0,281075.0,2.0
MXU6,2026-04-22 15:09:00,281100.0,281075.0,281100.0,281075.0,3.0
MXU6,2026-04-22 15:10:00,281025.0,281000.0,281025.0,281000.0,6.0
MXU6,2026-04-22 15:14:00,281150.0,281150.0,281150.0,281150.0,1.0
MXU6,2026-04-22 15:26:00,281025.0,281025.0,281025.0,281025.0,1.0
MXU6,2026-04-22 15:37:00,281250.0,281250.0,281250.0,281250.0,1.0
MXU6,2026-04-22 15:46:00,281400.0,281400.0,281400.0,281400.0,1.0
MXU6,2026-04-22 16:05:00,281475.0,281475.0,281500.0,281500.0,2.0
MXU6,2026-04-22 16:14:00,281575.0,281575.0,281575.0,281575.0,2.0
MXU6,2026-04-22 16:16:00,281525.0,281525.0,281525.0,281525.0,1.0
MXU6,2026-04-22 16:18:00,281500.0,281500.0,281500.0,281500.0,1.0
MXU6,2026-04-22 16:33:00,281425.0,281425.0,281425.0,281425.0,1.0
MXU6,2026-04-22 16:34:00,281400.0,281400.0,281400.0,281400.0,1.0
MXU6,2026-04-22 17:29:00,281500.0,281500.0,281500.0,281500.0,4.0
MXU6,2026-04-22 17:30:00,281500.0,281500.0,281500.0,281500.0,1.0
MXU6,2026-04-22 17:41:00,281900.0,281900.0,281950.0,281950.0,3.0
MXU6,2026-04-22 17:42:00,281975.0,281950.0,281975.0,281950.0,11.0
MXU6,2026-04-22 17:46:00,282200.0,282200.0,282200.0,282200.0,2.0
MXU6,2026-04-22 17:48:00,282350.0,282350.0,282350.0,282350.0,1.0
MXU6,2026-04-22 17:51:00,282175.0,282175.0,282175.0,282175.0,1.0
MXU6,2026-04-22 17:52:00,282075.0,282075.0,282075.0,282075.0,1.0
MXU6,2026-04-22 17:53:00,282100.0,282100.0,282100.0,282100.0,1.0
MXU6,2026-04-22 18:05:00,282225.0,282225.0,282225.0,282225.0,1.0
MXU6,2026-04-22 18:08:00,282025.0,282025.0,282025.0,282025.0,1.0
MXU6,2026-04-22 18:26:00,282250.0,282250.0,282250.0,282250.0,3.0
MXU6,2026-04-22 18:27:00,282350.0,282350.0,282350.0,282350.0,2.0
MXU6,2026-04-22 18:28:00,282275.0,282275.0,282275.0,282275.0,1.0
MXU6,2026-04-22 18:45:00,282400.0,282400.0,282400.0,282400.0,1.0
MXU6,2026-04-22 18:50:00,282200.0,282200.0,282200.0,282200.0,1.0
MXU6,2026-04-22 18:54:00,282200.0,282200.0,282200.0,282200.0,1.0
MXU6,2026-04-22 19:14:00,282200.0,282200.0,282200.0,282200.0,1.0
MXU6,2026-04-22 19:20:00,282200.0,282200.0,282200.0,282200.0,1.0
MXU6,2026-04-22 19:24:00,282400.0,282400.0,282400.0,282400.0,1.0
MXU6,2026-04-22 19:25:00,282500.0,282500.0,282500.0,282500.0,1.0
MXU6,2026-04-22 19:36:00,282525.0,282525.0,282525.0,282525.0,1.0
MXU6,2026-04-22 19:45:00,282675.0,282675.0,282675.0,282675.0,1.0
MXU6,2026-04-22 20:28:00,282400.0,282400.0,282400.0,282400.0,3.0
MXU6,2026-04-22 20:36:00,282350.0,282350.0,282350.0,282350.0,2.0
MXU6,2026-04-22 20:38:00,282350.0,282350.0,282350.0,282350.0,1.0
RIU6,2026-04-22 10:02:00,115480.0,115480.0,115480.0,115480.0,1.0
RIU6,2026-04-22 10:12:00,115200.0,115200.0,115200.0,115200.0,1.0
RIU6,2026-04-22 10:13:00,115170.0,115170.0,115170.0,115170.0,1.0
RIU6,2026-04-22 10:14:00,115010.0,115000.0,115020.0,115020.0,3.0
RIU6,2026-04-22 10:15:00,115000.0,115000.0,115000.0,115000.0,1.0
